"DRel";"RRel";"ProbeSaliency";"participant";"RT_io"
"DC";"RR";"salient";107;616,168749926146
"DR";"RR";"salient";107;842,05100000836
"DC";"RC";"nonsalient";108;437,296250020154
"DR";"RC";"nonsalient";108;476,220000069588
"DC";"RR";"nonsalient";108;473,464375012554
"DR";"RR";"nonsalient";108;432,162000006065
"DC";"RC";"salient";108;517,983750003623
"DR";"RC";"salient";108;470,020909095183
"DC";"RR";"salient";108;385,434166683505
"DR";"RR";"salient";108;406,547857115843
