"ResponseType";"RT_io";"CorrectAnswer";"Distance";"Distance_type";"Condition";"ACC_trials";"Validity";"Saliency";"SalD";"NSalD";"Target";"RT_Trials";"participant";"val";"sal"
"RR";608,829999982845;"e";1;1;"learn";1;"valid";"V";"V";"L";7;608,829999982845;56;1;NA
"RR";757,664999982808;"e";1;1;"learn";1;"valid";"V";"V";"L";3;757,664999982808;56;1;NA
"RR";797,294999996666;"u";4;1;"learn";1;"valid";"Salient";"G";"X";8;797,294999996666;56;1;1
"RR";692,395000020042;"e";2;1;"learn";1;"valid";"V";"V";"L";5;692,395000020042;56;1;NA
"RR";556,199999991804;"e";1;1;"learn";1;"valid";"V";"V";"L";9;556,199999991804;56;1;NA
"RR";673,9650000236;"u";3;1;"learn";1;"valid";"G";"G";"X";4;673,9650000236;56;1;NA
"RR";672,019999998156;"u";1;1;"learn";1;"valid";"G";"G";"X";8;672,019999998156;56;1;NA
"RR";1004,49500000104;"e";3;1;"learn";1;"valid";"V";"V";"L";5;1004,49500000104;56;1;NA
"RR";1052,41499998374;"u";2;1;"learn";1;"valid";"G";"G";"X";8;1052,41499998374;56;1;NA
"RR";637,945000024047;"u";1;1;"learn";1;"valid";"G";"G";"X";6;637,945000024047;56;1;NA
"RR";NA;"u";1;1;"learn";0;"valid";"G";"G";"X";4;NA;56;1;NA
"RR";738,884999998845;"u";2;1;"learn";1;"valid";"G";"G";"X";6;738,884999998845;56;1;NA
"RR";589,194999949541;"e";5;1;"learn";1;"valid";"V";"V";"L";7;589,194999949541;56;1;NA
"RC";806,925000040792;"e";2;1;"test";1;"invalid";"NonSalient";NA;"X";5;806,925000040792;56;-1;-1
"RR";1208,71500001522;"e";2;1;"learn";1;"valid";"V";"V";"L";3;1208,71500001522;56;1;NA
"RC";711,094999976922;"u";2;2;"learn";1;"valid";"G";"G";"X";8;711,094999976922;56;1;NA
"RR";873,974999994971;"e";2;1;"learn";1;"valid";"V";"V";"L";5;873,974999994971;56;1;NA
"RC";903,98499998264;"u";1;1;"test";1;"invalid";"Salient";"V";NA;6;903,98499998264;56;-1;1
"RC";690,539999981411;"e";3;1;"test";1;"invalid";"NonSalient";NA;"X";7;690,539999981411;56;-1;-1
"RC";638,90000001993;"u";1;2;"learn";1;"valid";"G";"G";"X";6;638,90000001993;56;1;NA
"RC";668,300000019372;"e";3;2;"learn";1;"valid";"V";"V";"L";3;668,300000019372;56;1;NA
"RR";1006,53499999316;"e";1;1;"learn";1;"valid";"V";"V";"L";7;1006,53499999316;56;1;NA
"RR";844,72499997355;"e";1;1;"learn";1;"valid";"V";"V";"L";5;844,72499997355;56;1;NA
"RR";672,569999995176;"u";4;1;"learn";1;"valid";"G";"G";"X";8;672,569999995176;56;1;NA
"RR";609,445000009146;"u";1;1;"learn";1;"valid";"G";"G";"X";6;609,445000009146;56;1;NA
"RR";589,600000006612;"e";3;1;"learn";1;"valid";"V";"V";"L";9;589,600000006612;56;1;NA
"RR";691,099999996368;"u";2;1;"learn";1;"valid";"G";"G";"X";2;691,099999996368;56;1;NA
"RC";670,659999945201;"u";2;1;"test";1;"invalid";"NonSalient";NA;"L";8;670,659999945201;56;-1;-1
"RC";655,169999983627;"e";1;2;"learn";1;"valid";"V";"V";"L";3;655,169999983627;56;1;NA
"RR";692,284999997355;"u";3;1;"learn";1;"valid";"G";"G";"X";8;692,284999997355;56;1;NA
"RR";782,490000012331;"u";1;1;"test";1;"valid";"Salient";"G";NA;4;782,490000012331;56;1;1
"RR";804,975000035483;"e";3;1;"test";1;"valid";"NonSalient";NA;"L";5;804,975000035483;56;1;-1
"RR";487,720000033733;"e";1;2;"learn";1;"valid";"V";"V";"L";7;487,720000033733;56;1;NA
"RR";822,935000003781;"e";1;1;"test";1;"valid";"NonSalient";NA;"L";5;822,935000003781;56;1;-1
"RR";838,890000013635;"e";1;2;"learn";1;"valid";"NonSalient";"V";"L";7;838,890000013635;56;1;-1
"RC";623,149999999441;"u";1;1;"learn";1;"invalid";"V";"V";"L";4;623,149999999441;56;-1;NA
"RC";554,980000015348;"e";6;2;"test";1;"invalid";"Salient";"G";NA;9;554,980000015348;56;-1;1
"RC";592,560000019148;"u";1;2;"learn";1;"valid";"G";"G";"X";4;592,560000019148;56;1;NA
"RR";502,954999974463;"u";1;1;"learn";1;"valid";"G";"G";"X";2;502,954999974463;56;1;NA
"RR";540,340000006836;"u";4;1;"learn";1;"invalid";"V";"V";"L";6;540,340000006836;56;-1;NA
"RC";577,010000008158;"e";1;1;"test";1;"valid";"NonSalient";NA;"L";3;577,010000008158;56;1;-1
"RC";522,040000010747;"e";3;1;"test";1;"invalid";"NonSalient";NA;"X";5;522,040000010747;56;-1;-1
"RR";541,045000019949;"e";2;2;"learn";1;"valid";"V";"V";"L";7;541,045000019949;56;1;NA
"RR";553,684999991674;"e";1;1;"learn";1;"valid";"V";"V";"L";9;553,684999991674;56;1;NA
"RR";524,230000039097;"e";1;1;"learn";1;"valid";"V";"V";"L";7;524,230000039097;56;1;NA
"RC";NA;"u";4;2;"learn";0;"valid";"NonSalient";"G";"X";6;NA;56;1;-1
